date,season,home_team,away_team,home_goals,away_goals
2021-08-13,2021-2022,go ahead eagles,sc heerenveen,0,1
2021-08-14,2021-2022,rkc waalwijk,alkmaar zaanstreek,1,0
2021-08-14,2021-2022,heracles almelo,psv eindhoven,0,2
2021-08-14,2021-2022,fortuna sittard,fc twente,2,1
2021-08-14,2021-2022,afc ajax,nijmegen eendracht combinatie,5,0
2021-08-15,2021-2022,fc utrecht,sparta rotterdam,4,0
2021-08-15,2021-2022,sc cambuur leeuwarden,fc groningen,1,2
2021-08-15,2021-2022,willem ii,feyenoord rotterdam,0,4
2021-08-15,2021-2022,pec zwolle,sbv vitesse,0,1
2021-08-20,2021-2022,nijmegen eendracht combinatie,pec zwolle,2,0
2021-08-21,2021-2022,sc heerenveen,rkc waalwijk,3,2
2021-08-21,2021-2022,psv eindhoven,sc cambuur leeuwarden,4,1
2021-08-21,2021-2022,sparta rotterdam,heracles almelo,1,1
2021-08-21,2021-2022,fc groningen,fc utrecht,0,0
2021-08-22,2021-2022,feyenoord rotterdam,go ahead eagles,2,0
2021-08-22,2021-2022,fc twente,afc ajax,1,1
2021-08-22,2021-2022,sbv vitesse,willem ii,0,3
2021-08-27,2021-2022,fortuna sittard,rkc waalwijk,2,2
2021-08-28,2021-2022,willem ii,pec zwolle,1,0
2021-08-28,2021-2022,psv eindhoven,fc groningen,5,2
2021-08-28,2021-2022,go ahead eagles,sparta rotterdam,2,0
2021-08-28,2021-2022,sc cambuur leeuwarden,fc twente,2,0
2021-08-29,2021-2022,fc utrecht,feyenoord rotterdam,3,1
2021-08-29,2021-2022,heracles almelo,nijmegen eendracht combinatie,0,1
2021-08-29,2021-2022,afc ajax,sbv vitesse,5,0
2021-08-29,2021-2022,sc heerenveen,alkmaar zaanstreek,1,3
2021-09-11,2021-2022,alkmaar zaanstreek,psv eindhoven,0,3
2021-09-11,2021-2022,sc cambuur leeuwarden,go ahead eagles,5,2
2021-09-11,2021-2022,fc twente,fc utrecht,1,0
2021-09-11,2021-2022,pec zwolle,afc ajax,0,2
2021-09-12,2021-2022,sparta rotterdam,fortuna sittard,3,1
2021-09-12,2021-2022,rkc waalwijk,sbv vitesse,1,2
2021-09-12,2021-2022,nijmegen eendracht combinatie,willem ii,0,0
2021-09-12,2021-2022,fc groningen,sc heerenveen,1,1
2021-09-17,2021-2022,sparta rotterdam,nijmegen eendracht combinatie,1,1
2021-09-18,2021-2022,afc ajax,sc cambuur leeuwarden,9,0
2021-09-18,2021-2022,fc utrecht,rkc waalwijk,2,2
2021-09-18,2021-2022,sc heerenveen,fortuna sittard,1,0
2021-09-18,2021-2022,willem ii,fc groningen,2,1
2021-09-19,2021-2022,go ahead eagles,pec zwolle,1,0
2021-09-19,2021-2022,psv eindhoven,feyenoord rotterdam,0,4
2021-09-19,2021-2022,heracles almelo,alkmaar zaanstreek,3,2
2021-09-19,2021-2022,sbv vitesse,fc twente,1,4
2021-09-21,2021-2022,fortuna sittard,afc ajax,0,5
2021-09-21,2021-2022,rkc waalwijk,willem ii,1,2
2021-09-22,2021-2022,nijmegen eendracht combinatie,fc utrecht,0,3
2021-09-22,2021-2022,fc groningen,sbv vitesse,0,1
2021-09-22,2021-2022,feyenoord rotterdam,sc heerenveen,3,1
2021-09-22,2021-2022,pec zwolle,sparta rotterdam,1,1
2021-09-22,2021-2022,go ahead eagles,psv eindhoven,1,2
2021-09-23,2021-2022,sc cambuur leeuwarden,heracles almelo,2,1
2021-09-23,2021-2022,fc twente,alkmaar zaanstreek,3,1
2021-09-25,2021-2022,feyenoord rotterdam,nijmegen eendracht combinatie,5,3
2021-09-25,2021-2022,sbv vitesse,fortuna sittard,1,1
2021-09-25,2021-2022,fc utrecht,pec zwolle,5,1
2021-09-25,2021-2022,willem ii,psv eindhoven,2,1
2021-09-25,2021-2022,afc ajax,fc groningen,3,0
2021-09-26,2021-2022,heracles almelo,rkc waalwijk,1,0
2021-09-26,2021-2022,sc heerenveen,fc twente,2,3
2021-09-26,2021-2022,alkmaar zaanstreek,go ahead eagles,5,0
2021-09-26,2021-2022,sparta rotterdam,sc cambuur leeuwarden,0,4
2021-10-01,2021-2022,fc groningen,fc twente,1,1
2021-10-02,2021-2022,heracles almelo,willem ii,3,2
2021-10-02,2021-2022,fortuna sittard,nijmegen eendracht combinatie,1,3
2021-10-02,2021-2022,rkc waalwijk,go ahead eagles,1,1
2021-10-02,2021-2022,pec zwolle,sc heerenveen,0,1
2021-10-03,2021-2022,sc cambuur leeuwarden,alkmaar zaanstreek,1,3
2021-10-03,2021-2022,afc ajax,fc utrecht,0,1
2021-10-03,2021-2022,sbv vitesse,feyenoord rotterdam,2,1
2021-10-03,2021-2022,psv eindhoven,sparta rotterdam,2,1
2021-10-16,2021-2022,go ahead eagles,heracles almelo,4,2
2021-10-16,2021-2022,fortuna sittard,sc cambuur leeuwarden,1,0
2021-10-16,2021-2022,psv eindhoven,pec zwolle,3,1
2021-10-16,2021-2022,sc heerenveen,afc ajax,0,2
2021-10-16,2021-2022,feyenoord rotterdam,rkc waalwijk,2,2
2021-10-17,2021-2022,fc twente,willem ii,1,1
